Species,Cohort,MATRR ID,Date of BC,Timepoint,State,TP:,ALB:,ALKP:,ALT:,AST:,GGT:,TBIL:,GLU:,BUN:,CREA:,K:,NA:,CL:,Ca:,PHOS:,Fe:,CHOL:,LDH:,TRIG:,A/G ratio:,DBIL:,Glob:,Amyl:,MG:,WBC:,NEUT%:,BAND%:,LY%,MONO%:,EOS%:,BASO%:,HCT:,HGB:,RBC:,MCV:,MCH:,MCHC:,PLT:,,
cyno,2,10021,8/17/2005,pre-induction,sedated,7.9,,,,,,,,,,,,,,,,,,,,,,,,7.2,66.5,0,29.5,3,0.5,0.5,39.8,13.2,5.74,69,23,33.2,430,,
cyno,2,10021,2/6/2006,H2O induction,awake,No samples were obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyno,2,10021,3/27/2006,H2O induction,sedated,6.2,3.9,185,47,35,62,0.1,55,12,1,3.6,149,109,8.9,3.2,98,94,541,38,1.7,0,2.3,,,13.3,68.8,0,26,3.7,0.7,0.8,35.4,11.5,4.77,74,24.1,32.5,376,,
cyno,2,10021,10/26/2006,open access 1,sedated,6.6,4.1,134,25,38,72,0.5,58,14,0.8,3.9,147,105,8.5,6.9,175,158,447,485,1.6,0.1,2.5,,,6.2,53.3,0,39.1,3,2.4,2.2,34.9,11.7,4.79,73,24.4,33.5,513,,
cyno,2,10021,4/18/2007,open access 2,sedated,6.4,3.8,105,27,42,69,0.4,45,14,1,3.8,145,102,9.1,4.9,170,145,693,181,1.5,0.1,2.6,,,6.2,42.4,0,53.5,3.1,0.6,0.4,40.4,13.1,5.31,76,24.7,32.4,374,,
cyno,2,10021,10/31/2007,before withdrawl 1,sedated,5.6,3.8,91,26,55,63,0.2,57,10,0.8,3.6,144,104,9.2,4.1,118,118,806,47,2.1,0,1.8,,,6.1,50.3,0,45.2,3.2,0.8,0.5,37.2,12,4.85,77,24.7,32.3,344,,
cyno,2,10021,4/24/2008,withdrawl 2,sedated,5.8,3.6,84,28,35,57,0.3,60,8.8,0.9,3.4,143,101,8.4,3.7,173,113,380,141,1.6,0.1,2.2, ,,5.9,61.1,0,34.9,3,0.6,0.4,37.4,11.9,5,75,23.8,31.8,353,,
cyno,2,10021,11/21/2008,before withdrawl 3,sedated,6.8,4.5,92,33,36,65,0.5,54,13.7,0.8,3.7,149,107,9.2,6,161,158,832,598,2,0.1,2.3, ,,6,66.9,0,29,3.1,0.5,0.5,39.4,13.1,5.37,73,24.4,33.2,431,,
cyno,2,10022,8/17/2005,pre-induction,sedated,6.8,,,,,,,,,,,,,,,,,,,,,,,,10,54.4,0,40.3,3.6,1.2,0.5,38.8,12.7,5.35,73,23.7,32.7,406,,
cyno,2,10022,2/6/2006,H2O induction,awake,,,,,,,,,,,,,,,,,,,,,,,,,8.9,34.4,0,60.5,2.7,1.3,1.1,39.9,12.6,5.29,76,23.8,31.6,96,,
